horasEstudo,numeroFaltas,media,suporte,reforco,cluster
0.99,0.24,0.73,0.50,1.00,4
0.77,0.00,0.76,0.25,0.00,1
0.21,0.90,0.03,0.50,0.00,0
0.50,0.48,0.51,0.75,0.00,2
0.23,0.59,0.32,0.75,1.00,4
0.41,0.00,0.77,0.25,0.00,1
0.78,0.34,0.69,0.75,0.00,1
0.77,0.76,0.34,0.25,1.00,4
0.23,0.03,0.72,0.50,0.00,1
0.92,0.00,0.89,0.75,0.00,1
0.59,0.38,0.54,0.25,0.00,1
0.38,0.52,0.39,0.50,0.00,0
0.50,0.72,0.38,0.75,0.00,2
0.61,0.72,0.44,1.00,0.00,2
0.56,0.31,0.60,0.50,1.00,4
0.49,0.59,0.34,0.00,1.00,4
0.51,0.48,0.56,0.50,0.00,1
0.18,0.55,0.35,0.50,1.00,4
0.81,1.00,0.12,0.50,0.00,3
0.54,0.31,0.60,0.50,0.00,1
0.13,0.07,0.69,0.75,0.00,1
0.77,0.86,0.09,0.25,0.00,3
0.93,1.00,0.08,0.25,1.00,4
0.95,0.69,0.44,0.50,0.00,3
0.37,0.52,0.38,0.50,0.00,0
0.14,0.17,0.74,1.00,0.00,1
0.52,0.07,0.74,0.50,0.00,1
0.11,0.28,0.54,0.75,0.00,2
0.94,0.34,0.71,0.75,0.00,1
0.18,0.69,0.38,0.75,0.00,2
0.25,0.41,0.43,0.00,1.00,4
0.41,0.59,0.46,1.00,0.00,2
0.38,0.86,0.10,0.25,0.00,0
0.80,0.72,0.24,0.00,0.00,3
0.46,0.93,0.29,0.50,1.00,4
0.17,0.79,0.07,0.25,0.00,0
0.27,0.90,0.05,0.25,1.00,4
0.51,0.72,0.27,0.25,1.00,4
0.15,0.10,0.75,0.25,1.00,4
0.61,0.72,0.38,0.75,1.00,4
0.57,0.79,0.26,0.25,1.00,4
0.72,0.24,0.66,0.50,0.00,1
0.94,0.41,0.70,1.00,1.00,4
0.91,0.31,0.72,0.50,0.00,1
0.95,0.03,1.00,0.75,1.00,4
0.24,0.24,0.63,1.00,0.00,2
0.13,0.17,0.64,0.25,0.00,1
0.30,0.52,0.43,0.50,0.00,0
